,year,region,Geo_point,geopoint_x,geopoint_y,No. of Accidents,No. of Casualties - Dead,No. of Casualties - Injured,driving_licenses_issues
29,2004,Makkah,"21.628962766, 41.2636898334",21.628962766, 41.2636898334,,,,86636
30,2005,Makkah,"21.628962766, 41.2636898334",21.628962766, 41.2636898334,,,,65099
31,2008,Makkah,"21.628962766, 41.2636898334",21.628962766, 41.2636898334,,,,77013
32,2014,Madinah,"24.927534539, 39.4918237173",24.927534539, 39.4918237173,,,,31447
33,2013,Madinah,"24.927534539, 39.4918237173",24.927534539, 39.4918237173,,,,28513
34,2012,Madinah,"24.927534539, 39.4918237173",24.927534539, 39.4918237173,,,,14459
35,1994,Madinah,"24.927534539, 39.4918237173",24.927534539, 39.4918237173,,,,3767
36,1998,Madinah,"24.927534539, 39.4918237173",24.927534539, 39.4918237173,,,,13020
37,2000,Madinah,"24.927534539, 39.4918237173",24.927534539, 39.4918237173,,,,9562
38,2007,Madinah,"24.927534539, 39.4918237173",24.927534539, 39.4918237173,,,,12174
39,2004,Madinah,"24.927534539, 39.4918237173",24.927534539, 39.4918237173,,,,10556
40,1995,Qassim,"26.1967063704, 43.3429998455",26.1967063704, 43.3429998455,,,,49690
41,1996,Qassim,"26.1967063704, 43.3429998455",26.1967063704, 43.3429998455,,,,42693
42,2015,Eastern Region,"23.2883307307, 50.1478302439",23.2883307307, 50.1478302439,,,,135752
43,2015,Assir,"19.1387847401, 42.941470036",19.1387847401, 42.941470036,,,,38567
44,1995,Assir,"19.1387847401, 42.941470036",19.1387847401, 42.941470036,,,,4889
45,1996,Assir,"19.1387847401, 42.941470036",19.1387847401, 42.941470036,,,,3319
46,1998,Assir,"19.1387847401, 42.941470036",19.1387847401, 42.941470036,,,,13220
47,2010,Tabouk,"27.90165499, 37.2598581394",27.90165499, 37.2598581394,,,,10345
48,2013,Tabouk,"27.90165499, 37.2598581394",27.90165499, 37.2598581394,,,,12848
49,1996,Tabouk,"27.90165499, 37.2598581394",27.90165499, 37.2598581394,,,,2263
50,1998,Tabouk,"27.90165499, 37.2598581394",27.90165499, 37.2598581394,,,,6823
51,2001,Tabouk,"27.90165499, 37.2598581394",27.90165499, 37.2598581394,,,,6344
52,2007,Tabouk,"27.90165499, 37.2598581394",27.90165499, 37.2598581394,,,,11045
53,2007,Hail,"27.400845724, 41.4406960508",27.400845724, 41.4406960508,,,,4021
54,2004,Hail,"27.400845724, 41.4406960508",27.400845724, 41.4406960508,,,,8656
55,2005,Hail,"27.400845724, 41.4406960508",27.400845724, 41.4406960508,,,,16247
56,2009,Hail,"27.400845724, 41.4406960508",27.400845724, 41.4406960508,,,,7282
57,2012,Northern Boarder,"30.197074783, 41.8171186952",30.197074783, 41.8171186952,,,,3706
58,1993,Northern Boarder,"30.197074783, 41.8171186952",30.197074783, 41.8171186952,,,,1510
59,2000,Northern Boarder,"30.197074783, 41.8171186952",30.197074783, 41.8171186952,,,,2894
60,2005,Northern Boarder,"30.197074783, 41.8171186952",30.197074783, 41.8171186952,,,,1804
61,2010,Jazan,"17.2072313962, 42.6525807422",17.2072313962, 42.6525807422,,,,12270
62,1993,Jazan,"17.2072313962, 42.6525807422",17.2072313962, 42.6525807422,,,,6009
63,1997,Jazan,"17.2072313962, 42.6525807422",17.2072313962, 42.6525807422,,,,5695
64,2000,Jazan,"17.2072313962, 42.6525807422",17.2072313962, 42.6525807422,,,,5678
65,2001,Jazan,"17.2072313962, 42.6525807422",17.2072313962, 42.6525807422,,,,10631
66,2008,Jazan,"17.2072313962, 42.6525807422",17.2072313962, 42.6525807422,,,,11346
67,2010,Najran,"18.4511003068, 46.8688495726",18.4511003068, 46.8688495726,,,,6360
68,2013,Najran,"18.4511003068, 46.8688495726",18.4511003068, 46.8688495726,,,,8996
69,1995,Najran,"18.4511003068, 46.8688495726",18.4511003068, 46.8688495726,,,,3268
70,1999,Najran,"18.4511003068, 46.8688495726",18.4511003068, 46.8688495726,,,,3959
71,2003,Najran,"18.4511003068, 46.8688495726",18.4511003068, 46.8688495726,,,,4443
72,2009,Najran,"18.4511003068, 46.8688495726",18.4511003068, 46.8688495726,,,,6771
73,2015,Al-Baha,"20.1484058503, 41.4665484892",20.1484058503, 41.4665484892,,,,4856
74,2011,Al-Baha,"20.1484058503, 41.4665484892",20.1484058503, 41.4665484892,,,,6450
75,1994,Al-Baha,"20.1484058503, 41.4665484892",20.1484058503, 41.4665484892,,,,2729
76,1996,Al-Baha,"20.1484058503, 41.4665484892",20.1484058503, 41.4665484892,,,,1468
77,2010,Al-Jouf,"29.9677445762, 39.5570371172",29.9677445762, 39.5570371172,,,,10937
78,1996,Al-Jouf,"29.9677445762, 39.5570371172",29.9677445762, 39.5570371172,,,,2518
79,2000,Al-Jouf,"29.9677445762, 39.5570371172",29.9677445762, 39.5570371172,,,,4666
80,2001,Al-Jouf,"29.9677445762, 39.5570371172",29.9677445762, 39.5570371172,,,,4756
81,2011,Riyadh,"23.0814341634, 45.5857512766",23.0814341634, 45.5857512766,,,,27772
82,2013,Riyadh,"23.0814341634, 45.5857512766",23.0814341634, 45.5857512766,,,,165994
83,1999,Riyadh,"23.0814341634, 45.5857512766",23.0814341634, 45.5857512766,,,,100291
84,2005,Riyadh,"23.0814341634, 45.5857512766",23.0814341634, 45.5857512766,,,,23245
85,2015,Makkah,"21.628962766, 41.2636898334",21.628962766, 41.2636898334,,,,157389
86,2013,Makkah,"21.628962766, 41.2636898334",21.628962766, 41.2636898334,,,,131108
87,1997,Riyadh,"23.0814341634, 45.5857512766",23.0814341634, 45.5857512766,,,,92145
88,2001,Riyadh,"23.0814341634, 45.5857512766",23.0814341634, 45.5857512766,,,,13090
89,2014,Makkah,"21.628962766, 41.2636898334",21.628962766, 41.2636898334,,,,149234
90,2010,Makkah,"21.628962766, 41.2636898334",21.628962766, 41.2636898334,,,,113531
91,1997,Makkah,"21.628962766, 41.2636898334",21.628962766, 41.2636898334,,,,76623
92,1999,Makkah,"21.628962766, 41.2636898334",21.628962766, 41.2636898334,,,,103535
93,2000,Makkah,"21.628962766, 41.2636898334",21.628962766, 41.2636898334,,,,87053
94,2006,Makkah,"21.628962766, 41.2636898334",21.628962766, 41.2636898334,,,,66967
95,2009,Makkah,"21.628962766, 41.2636898334",21.628962766, 41.2636898334,,,,112045
96,2010,Madinah,"24.927534539, 39.4918237173",24.927534539, 39.4918237173,,,,15045
97,1995,Madinah,"24.927534539, 39.4918237173",24.927534539, 39.4918237173,,,,4155
98,1996,Madinah,"24.927534539, 39.4918237173",24.927534539, 39.4918237173,,,,3425
99,1999,Madinah,"24.927534539, 39.4918237173",24.927534539, 39.4918237173,,,,11108
100,2003,Madinah,"24.927534539, 39.4918237173",24.927534539, 39.4918237173,,,,12920
101,2015,Qassim,"26.1967063704, 43.3429998455",26.1967063704, 43.3429998455,,,,13631
102,2014,Qassim,"26.1967063704, 43.3429998455",26.1967063704, 43.3429998455,,,,29113
103,2010,Qassim,"26.1967063704, 43.3429998455",26.1967063704, 43.3429998455,,,,36737
104,2013,Qassim,"26.1967063704, 43.3429998455",26.1967063704, 43.3429998455,,,,17889
105,1994,Qassim,"26.1967063704, 43.3429998455",26.1967063704, 43.3429998455,,,,68916
106,2003,Qassim,"26.1967063704, 43.3429998455",26.1967063704, 43.3429998455,,,,10666
107,2000,Qassim,"26.1967063704, 43.3429998455",26.1967063704, 43.3429998455,,,,12226
108,2006,Qassim,"26.1967063704, 43.3429998455",26.1967063704, 43.3429998455,,,,12142
109,2007,Qassim,"26.1967063704, 43.3429998455",26.1967063704, 43.3429998455,,,,25174
110,2011,Eastern Region,"23.2883307307, 50.1478302439",23.2883307307, 50.1478302439,,,,151087
111,2012,Eastern Region,"23.2883307307, 50.1478302439",23.2883307307, 50.1478302439,,,,129971
112,2012,Assir,"19.1387847401, 42.941470036",19.1387847401, 42.941470036,,,,23136
113,1997,Assir,"19.1387847401, 42.941470036",19.1387847401, 42.941470036,,,,12204
114,2003,Assir,"19.1387847401, 42.941470036",19.1387847401, 42.941470036,,,,15693
115,2008,Assir,"19.1387847401, 42.941470036",19.1387847401, 42.941470036,,,,18800
116,2011,Tabouk,"27.90165499, 37.2598581394",27.90165499, 37.2598581394,,,,12820
117,1994,Tabouk,"27.90165499, 37.2598581394",27.90165499, 37.2598581394,,,,3282
118,2003,Tabouk,"27.90165499, 37.2598581394",27.90165499, 37.2598581394,,,,9873
119,2008,Tabouk,"27.90165499, 37.2598581394",27.90165499, 37.2598581394,,,,14928
120,2009,Tabouk,"27.90165499, 37.2598581394",27.90165499, 37.2598581394,,,,9424
121,2014,Hail,"27.400845724, 41.4406960508",27.400845724, 41.4406960508,,,,10417
122,2010,Hail,"27.400845724, 41.4406960508",27.400845724, 41.4406960508,,,,7637
123,1995,Hail,"27.400845724, 41.4406960508",27.400845724, 41.4406960508,,,,9735
124,2002,Hail,"27.400845724, 41.4406960508",27.400845724, 41.4406960508,,,,5070
125,2001,Hail,"27.400845724, 41.4406960508",27.400845724, 41.4406960508,,,,6077
126,2008,Hail,"27.400845724, 41.4406960508",27.400845724, 41.4406960508,,,,7413
127,2011,Northern Boarder,"30.197074783, 41.8171186952",30.197074783, 41.8171186952,,,,4314
128,1999,Northern Boarder,"30.197074783, 41.8171186952",30.197074783, 41.8171186952,,,,2311
129,1998,Northern Boarder,"30.197074783, 41.8171186952",30.197074783, 41.8171186952,,,,2014
130,2001,Northern Boarder,"30.197074783, 41.8171186952",30.197074783, 41.8171186952,,,,2971
131,2006,Northern Boarder,"30.197074783, 41.8171186952",30.197074783, 41.8171186952,,,,2573
132,2004,Northern Boarder,"30.197074783, 41.8171186952",30.197074783, 41.8171186952,,,,1922
133,2014,Jazan,"17.2072313962, 42.6525807422",17.2072313962, 42.6525807422,,,,15621
134,2011,Jazan,"17.2072313962, 42.6525807422",17.2072313962, 42.6525807422,,,,10946
135,1994,Jazan,"17.2072313962, 42.6525807422",17.2072313962, 42.6525807422,,,,3826
136,1999,Jazan,"17.2072313962, 42.6525807422",17.2072313962, 42.6525807422,,,,4792
137,2009,Jazan,"17.2072313962, 42.6525807422",17.2072313962, 42.6525807422,,,,9437
138,2012,Najran,"18.4511003068, 46.8688495726",18.4511003068, 46.8688495726,,,,9201
139,2000,Najran,"18.4511003068, 46.8688495726",18.4511003068, 46.8688495726,,,,4905
140,2006,Najran,"18.4511003068, 46.8688495726",18.4511003068, 46.8688495726,,,,5897
141,2007,Najran,"18.4511003068, 46.8688495726",18.4511003068, 46.8688495726,,,,7226
142,2014,Al-Baha,"20.1484058503, 41.4665484892",20.1484058503, 41.4665484892,,,,7268
143,2012,Al-Baha,"20.1484058503, 41.4665484892",20.1484058503, 41.4665484892,,,,7593
144,1993,Al-Baha,"20.1484058503, 41.4665484892",20.1484058503, 41.4665484892,,,,3270
145,1995,Al-Baha,"20.1484058503, 41.4665484892",20.1484058503, 41.4665484892,,,,2423
146,1998,Al-Baha,"20.1484058503, 41.4665484892",20.1484058503, 41.4665484892,,,,5110
147,2002,Al-Baha,"20.1484058503, 41.4665484892",20.1484058503, 41.4665484892,,,,3335
148,2003,Al-Baha,"20.1484058503, 41.4665484892",20.1484058503, 41.4665484892,,,,3616
149,2005,Al-Baha,"20.1484058503, 41.4665484892",20.1484058503, 41.4665484892,,,,2698
150,2014,Al-Jouf,"29.9677445762, 39.5570371172",29.9677445762, 39.5570371172,,,,9982
151,2012,Al-Jouf,"29.9677445762, 39.5570371172",29.9677445762, 39.5570371172,,,,10246
152,1994,Al-Jouf,"29.9677445762, 39.5570371172",29.9677445762, 39.5570371172,,,,2535
153,2004,Al-Jouf,"29.9677445762, 39.5570371172",29.9677445762, 39.5570371172,,,,4601
154,2012,Riyadh,"23.0814341634, 45.5857512766",23.0814341634, 45.5857512766,,,,23888
155,1993,Riyadh,"23.0814341634, 45.5857512766",23.0814341634, 45.5857512766,,,,103886
156,1995,Riyadh,"23.0814341634, 45.5857512766",23.0814341634, 45.5857512766,,,,101608
157,1994,Riyadh,"23.0814341634, 45.5857512766",23.0814341634, 45.5857512766,,,,110545
158,2014,Riyadh,"23.0814341634, 45.5857512766",23.0814341634, 45.5857512766,,,,194208
159,1996,Riyadh,"23.0814341634, 45.5857512766",23.0814341634, 45.5857512766,,,,110131
160,2005,Al-Jouf,"29.9677445762, 39.5570371172",29.9677445762, 39.5570371172,,,,3558
161,2008,Al-Jouf,"29.9677445762, 39.5570371172",29.9677445762, 39.5570371172,,,,10929
162,2009,Al-Jouf,"29.9677445762, 39.5570371172",29.9677445762, 39.5570371172,,,,10567
163,2010,Northern Boarder,"30.197074783, 41.8171186952",30.197074783, 41.8171186952,,,,3064
164,1996,Northern Boarder,"30.197074783, 41.8171186952",30.197074783, 41.8171186952,,,,1383
165,2002,Northern Boarder,"30.197074783, 41.8171186952",30.197074783, 41.8171186952,,,,2268
166,2009,Northern Boarder,"30.197074783, 41.8171186952",30.197074783, 41.8171186952,,,,3649
167,2015,Jazan,"17.2072313962, 42.6525807422",17.2072313962, 42.6525807422,,,,13931
168,2013,Jazan,"17.2072313962, 42.6525807422",17.2072313962, 42.6525807422,,,,14175
169,2007,Jazan,"17.2072313962, 42.6525807422",17.2072313962, 42.6525807422,,,,12634
170,2005,Jazan,"17.2072313962, 42.6525807422",17.2072313962, 42.6525807422,,,,5502
171,2015,Najran,"18.4511003068, 46.8688495726",18.4511003068, 46.8688495726,,,,1864
172,1996,Najran,"18.4511003068, 46.8688495726",18.4511003068, 46.8688495726,,,,3274
173,2008,Najran,"18.4511003068, 46.8688495726",18.4511003068, 46.8688495726,,,,7938
174,1999,Al-Baha,"20.1484058503, 41.4665484892",20.1484058503, 41.4665484892,,,,4246
175,2000,Al-Baha,"20.1484058503, 41.4665484892",20.1484058503, 41.4665484892,,,,4832
176,2001,Al-Baha,"20.1484058503, 41.4665484892",20.1484058503, 41.4665484892,,,,7594
177,2007,Al-Baha,"20.1484058503, 41.4665484892",20.1484058503, 41.4665484892,,,,997
178,2015,Al-Jouf,"29.9677445762, 39.5570371172",29.9677445762, 39.5570371172,,,,10233
179,1997,Al-Jouf,"29.9677445762, 39.5570371172",29.9677445762, 39.5570371172,,,,3565
180,1998,Al-Jouf,"29.9677445762, 39.5570371172",29.9677445762, 39.5570371172,,,,3476
181,2002,Al-Jouf,"29.9677445762, 39.5570371172",29.9677445762, 39.5570371172,,,,5940
182,2006,Al-Jouf,"29.9677445762, 39.5570371172",29.9677445762, 39.5570371172,,,,4846
183,1993,Makkah,"21.628962766, 41.2636898334",21.628962766, 41.2636898334,,,,65977
184,1995,Makkah,"21.628962766, 41.2636898334",21.628962766, 41.2636898334,,,,60356
185,2001,Makkah,"21.628962766, 41.2636898334",21.628962766, 41.2636898334,,,,85593
186,2001,Madinah,"24.927534539, 39.4918237173",24.927534539, 39.4918237173,,,,13561
187,2006,Madinah,"24.927534539, 39.4918237173",24.927534539, 39.4918237173,,,,11204
188,2009,Madinah,"24.927534539, 39.4918237173",24.927534539, 39.4918237173,,,,11574
189,2001,Qassim,"26.1967063704, 43.3429998455",26.1967063704, 43.3429998455,,,,14718
190,2013,Eastern Region,"23.2883307307, 50.1478302439",23.2883307307, 50.1478302439,,,,123325
191,1996,Eastern Region,"23.2883307307, 50.1478302439",23.2883307307, 50.1478302439,,,,8461
192,2002,Eastern Region,"23.2883307307, 50.1478302439",23.2883307307, 50.1478302439,,,,85035
193,2000,Eastern Region,"23.2883307307, 50.1478302439",23.2883307307, 50.1478302439,,,,65767
194,2001,Eastern Region,"23.2883307307, 50.1478302439",23.2883307307, 50.1478302439,,,,74119
195,2006,Eastern Region,"23.2883307307, 50.1478302439",23.2883307307, 50.1478302439,,,,79517
196,2007,Eastern Region,"23.2883307307, 50.1478302439",23.2883307307, 50.1478302439,,,,106511
197,2008,Eastern Region,"23.2883307307, 50.1478302439",23.2883307307, 50.1478302439,,,,104626
198,2014,Assir,"19.1387847401, 42.941470036",19.1387847401, 42.941470036,,,,29552
199,2011,Assir,"19.1387847401, 42.941470036",19.1387847401, 42.941470036,,,,24515
200,1999,Assir,"19.1387847401, 42.941470036",19.1387847401, 42.941470036,,,,14625
201,2002,Assir,"19.1387847401, 42.941470036",19.1387847401, 42.941470036,,,,20417
202,2000,Assir,"19.1387847401, 42.941470036",19.1387847401, 42.941470036,,,,18622
203,2006,Assir,"19.1387847401, 42.941470036",19.1387847401, 42.941470036,,,,20330
204,2007,Assir,"19.1387847401, 42.941470036",19.1387847401, 42.941470036,,,,10835
205,2015,Tabouk,"27.90165499, 37.2598581394",27.90165499, 37.2598581394,,,,915
206,1993,Tabouk,"27.90165499, 37.2598581394",27.90165499, 37.2598581394,,,,3174
207,1997,Tabouk,"27.90165499, 37.2598581394",27.90165499, 37.2598581394,,,,5426
208,2002,Tabouk,"27.90165499, 37.2598581394",27.90165499, 37.2598581394,,,,8794
209,2005,Tabouk,"27.90165499, 37.2598581394",27.90165499, 37.2598581394,,,,6511
210,1993,Hail,"27.400845724, 41.4406960508",27.400845724, 41.4406960508,,,,10484
211,1996,Hail,"27.400845724, 41.4406960508",27.400845724, 41.4406960508,,,,10267
212,2003,Hail,"27.400845724, 41.4406960508",27.400845724, 41.4406960508,,,,3861
213,2006,Hail,"27.400845724, 41.4406960508",27.400845724, 41.4406960508,,,,8166
214,2003,Northern Boarder,"30.197074783, 41.8171186952",30.197074783, 41.8171186952,,,,1705
215,1995,Jazan,"17.2072313962, 42.6525807422",17.2072313962, 42.6525807422,,,,2284
216,1998,Jazan,"17.2072313962, 42.6525807422",17.2072313962, 42.6525807422,,,,2613
217,2003,Jazan,"17.2072313962, 42.6525807422",17.2072313962, 42.6525807422,,,,5220
218,2004,Jazan,"17.2072313962, 42.6525807422",17.2072313962, 42.6525807422,,,,5016
219,1993,Najran,"18.4511003068, 46.8688495726",18.4511003068, 46.8688495726,,,,3769
220,1997,Najran,"18.4511003068, 46.8688495726",18.4511003068, 46.8688495726,,,,3073
221,2002,Najran,"18.4511003068, 46.8688495726",18.4511003068, 46.8688495726,,,,5117
222,2005,Najran,"18.4511003068, 46.8688495726",18.4511003068, 46.8688495726,,,,4779
223,2010,Al-Baha,"20.1484058503, 41.4665484892",20.1484058503, 41.4665484892,,,,7076
224,2013,Al-Baha,"20.1484058503, 41.4665484892",20.1484058503, 41.4665484892,,,,7482
225,1997,Al-Baha,"20.1484058503, 41.4665484892",20.1484058503, 41.4665484892,,,,3027
226,2006,Al-Baha,"20.1484058503, 41.4665484892",20.1484058503, 41.4665484892,,,,3593
227,1993,Al-Jouf,"29.9677445762, 39.5570371172",29.9677445762, 39.5570371172,,,,2884
228,1995,Al-Jouf,"29.9677445762, 39.5570371172",29.9677445762, 39.5570371172,,,,2270
229,1999,Al-Jouf,"29.9677445762, 39.5570371172",29.9677445762, 39.5570371172,,,,3950
230,2007,Al-Jouf,"29.9677445762, 39.5570371172",29.9677445762, 39.5570371172,,,,9097
231,2010,Riyadh,"23.0814341634, 45.5857512766",23.0814341634, 45.5857512766,,,,31378
232,2003,Riyadh,"23.0814341634, 45.5857512766",23.0814341634, 45.5857512766,,,,26076
233,2000,Riyadh,"23.0814341634, 45.5857512766",23.0814341634, 45.5857512766,,,,45345
234,2006,Riyadh,"23.0814341634, 45.5857512766",23.0814341634, 45.5857512766,,,,36059
235,2008,Riyadh,"23.0814341634, 45.5857512766",23.0814341634, 45.5857512766,,,,36798
236,2011,Makkah,"21.628962766, 41.2636898334",21.628962766, 41.2636898334,,,,110647
237,2011,Madinah,"24.927534539, 39.4918237173",24.927534539, 39.4918237173,,,,14630
238,1993,Madinah,"24.927534539, 39.4918237173",24.927534539, 39.4918237173,,,,4122
239,2002,Madinah,"24.927534539, 39.4918237173",24.927534539, 39.4918237173,,,,10494
240,2005,Madinah,"24.927534539, 39.4918237173",24.927534539, 39.4918237173,,,,10210
241,2012,Qassim,"26.1967063704, 43.3429998455",26.1967063704, 43.3429998455,,,,11421
242,2004,Qassim,"26.1967063704, 43.3429998455",26.1967063704, 43.3429998455,,,,9390
243,2005,Qassim,"26.1967063704, 43.3429998455",26.1967063704, 43.3429998455,,,,10480
244,2014,Eastern Region,"23.2883307307, 50.1478302439",23.2883307307, 50.1478302439,,,,121774
245,2010,Eastern Region,"23.2883307307, 50.1478302439",23.2883307307, 50.1478302439,,,,110295
246,1995,Eastern Region,"23.2883307307, 50.1478302439",23.2883307307, 50.1478302439,,,,7831
247,1994,Eastern Region,"23.2883307307, 50.1478302439",23.2883307307, 50.1478302439,,,,10918
248,1997,Eastern Region,"23.2883307307, 50.1478302439",23.2883307307, 50.1478302439,,,,58814
249,2003,Eastern Region,"23.2883307307, 50.1478302439",23.2883307307, 50.1478302439,,,,82697
250,2009,Eastern Region,"23.2883307307, 50.1478302439",23.2883307307, 50.1478302439,,,,108544
251,2013,Assir,"19.1387847401, 42.941470036",19.1387847401, 42.941470036,,,,29730
252,2001,Assir,"19.1387847401, 42.941470036",19.1387847401, 42.941470036,,,,20321
253,2005,Assir,"19.1387847401, 42.941470036",19.1387847401, 42.941470036,,,,18565
254,2014,Tabouk,"27.90165499, 37.2598581394",27.90165499, 37.2598581394,,,,12188
255,1995,Tabouk,"27.90165499, 37.2598581394",27.90165499, 37.2598581394,,,,2051
256,2004,Tabouk,"27.90165499, 37.2598581394",27.90165499, 37.2598581394,,,,7532
257,2015,Hail,"27.400845724, 41.4406960508",27.400845724, 41.4406960508,,,,7172
258,2011,Hail,"27.400845724, 41.4406960508",27.400845724, 41.4406960508,,,,9123
259,2012,Hail,"27.400845724, 41.4406960508",27.400845724, 41.4406960508,,,,11082
260,1994,Hail,"27.400845724, 41.4406960508",27.400845724, 41.4406960508,,,,11131
261,1998,Hail,"27.400845724, 41.4406960508",27.400845724, 41.4406960508,,,,4708
262,2000,Hail,"27.400845724, 41.4406960508",27.400845724, 41.4406960508,,,,3215
263,2015,Northern Boarder,"30.197074783, 41.8171186952",30.197074783, 41.8171186952,,,,3837
264,2014,Northern Boarder,"30.197074783, 41.8171186952",30.197074783, 41.8171186952,,,,5009
265,2013,Northern Boarder,"30.197074783, 41.8171186952",30.197074783, 41.8171186952,,,,3921
266,1995,Northern Boarder,"30.197074783, 41.8171186952",30.197074783, 41.8171186952,,,,1318
267,1994,Northern Boarder,"30.197074783, 41.8171186952",30.197074783, 41.8171186952,,,,1457
268,1997,Northern Boarder,"30.197074783, 41.8171186952",30.197074783, 41.8171186952,,,,1531
269,2007,Northern Boarder,"30.197074783, 41.8171186952",30.197074783, 41.8171186952,,,,3479
270,2008,Northern Boarder,"30.197074783, 41.8171186952",30.197074783, 41.8171186952,,,,3519
271,2012,Jazan,"17.2072313962, 42.6525807422",17.2072313962, 42.6525807422,,,,11156
272,1996,Jazan,"17.2072313962, 42.6525807422",17.2072313962, 42.6525807422,,,,2226
273,2002,Jazan,"17.2072313962, 42.6525807422",17.2072313962, 42.6525807422,,,,5254
274,2006,Jazan,"17.2072313962, 42.6525807422",17.2072313962, 42.6525807422,,,,7955
275,2015,Riyadh,"23.0814341634, 45.5857512766",23.0814341634, 45.5857512766,,,,24548
276,1998,Riyadh,"23.0814341634, 45.5857512766",23.0814341634, 45.5857512766,,,,114962
277,2002,Riyadh,"23.0814341634, 45.5857512766",23.0814341634, 45.5857512766,,,,25423
278,2007,Riyadh,"23.0814341634, 45.5857512766",23.0814341634, 45.5857512766,,,,36261
279,2004,Riyadh,"23.0814341634, 45.5857512766",23.0814341634, 45.5857512766,,,,23479
280,2009,Riyadh,"23.0814341634, 45.5857512766",23.0814341634, 45.5857512766,,,,38014
281,1996,Makkah,"21.628962766, 41.2636898334",21.628962766, 41.2636898334,,,,46195
282,2014,Najran,"18.4511003068, 46.8688495726",18.4511003068, 46.8688495726,,,,9601
283,2011,Najran,"18.4511003068, 46.8688495726",18.4511003068, 46.8688495726,,,,7314
284,1994,Najran,"18.4511003068, 46.8688495726",18.4511003068, 46.8688495726,,,,3880
285,1998,Najran,"18.4511003068, 46.8688495726",18.4511003068, 46.8688495726,,,,4322
286,2001,Najran,"18.4511003068, 46.8688495726",18.4511003068, 46.8688495726,,,,4950
287,2004,Najran,"18.4511003068, 46.8688495726",18.4511003068, 46.8688495726,,,,4609
288,2004,Al-Baha,"20.1484058503, 41.4665484892",20.1484058503, 41.4665484892,,,,3410
289,2008,Al-Baha,"20.1484058503, 41.4665484892",20.1484058503, 41.4665484892,,,,5418
